icao,tail,plane
151d9c,RA-73116,Boeing 737-8LJ
738057,4X-EHI,Boeing 737-958ER
15206f,RA-73839,Airbus A321-251NX
151d77,RA-73079,Boeing 767-3Y0ER
896411,A6-AOE,Airbus A320-214
14f110,RA-61712,Antonov An-148-100EA
4bd150,TC-TJP,Boeing 737-8BK
151e32,RA-73266,Boeing 737-83N
151d98,RA-73112,Boeing 737-8LJ
51009c,EW-457PA,Boeing 737-800WL
4bb87a,TC-NCZ,Airbus A320-251N
155be6,RA-89062,Sukhoi SuperJet 100-95B
151e8a,RA-73354,Boeing 757-223SF
15203a,RA-73786,Airbus A330-343E
155c1a,RA-89114,Sukhoi SuperJet 100-95B
4243e6,VQ-BBB,Boeing 737-93YER
151e65,RA-73317,Boeing 737-82R
5100fc,EW-514PO,Embraer 190-200LR-195LR
507c41,UK32018,Airbus A320-214
4bc841,TC-RBA,Airbus A321-251NX
155bd0,RA-89040,Sukhoi SuperJet 100-95B
78122f,B-8862,Airbus A330-343E
151e73,RA-73331,Boeing 777-21HER
1407c6,RA-01990,AgustaWestland AW139
151d8e,RA-73102,Boeing 737-800WL
4b8de8,TC-COH,Boeing 737-8EH
151ebf,RA-73407,Airbus A320-214
142581,RA-09601,Dassault Falcon 7X
43be92,RA-73153,Airbus A350-941
151e24,RA-73252,Boeing 737-8AS
151df8,RA-73208,Boeing 737-800WL
155c20,RA-89120,Sukhoi SuperJet 100-95B
14fa27,RA-64039,Tupolev Tu-204-300
142329,RA-09001,Dassault Falcon 900B
15537a,RA-86906,Ilyushin Il-76MD
151e5d,RA-73309,Boeing 737-800WL
896539,A6-BNB,Boeing 787-9
151da3,RA-73123,Boeing 737-8LJ
683277,UP-EM018,Embraer ERJ 135BJ Legacy 650
152000,RA-73728,Airbus A321-211
600018,EK-AAD,Airbus A321-231
683298,UP-B3732,Boeing 737-82R
151fb8,RA-73656,Boeing 737-8GJ
151e0c,RA-73228,Boeing 737-800WL
78076e,B-2088,Boeing 777-39LER
151dd4,RA-73172,Airbus A320-214
152057,RA-73815,Airbus A319-112
507c3a,UK32011,Airbus A320-214
151fbc,RA-73660,Boeing 737-86N
010146,SU-GDZ,Boeing 737-866
151e1e,RA-73246,Boeing 737-800WL
151de2,RA-73186,Airbus A319-112
152041,RA-73793,Airbus A321-211
4ba9ef,TC-JOO,Airbus A330-223F
155bbf,RA-89023,Sukhoi SuperJet 100-95B
151ff9,RA-73721,Airbus A321-211
781094,B-8678,Airbus A330-343E
4bb856,TC-NBV,Airbus A320-251N
151ed0,RA-73424,Airbus A320-214
8965b6,A6-FMZ,Boeing 737-8
152016,RA-73750,Airbus A320-214
151ffb,RA-73723,Airbus A321-211
152061,RA-73825,Airbus A320-212
6010ef,EX-32008,Airbus A320-233
151ec7,RA-73415,Airbus A321-211
151d94,RA-73108,Boeing 737-800WL
8963ff,A6-AOC,Airbus A320-214
151f17,RA-73495,Boeing 737-8EH
4ba8c8,TC-JFH,Boeing 737-8F2
150660,RA-67168,Canadair CL-600-2B16 Challenger 650
151e3e,RA-73278,Boeing 777-31HER
151ef0,RA-73456,Airbus A320-271N
151fdb,RA-73691,Airbus A320-232
78139f,B-1096,Airbus A330-343E
7808cb,B-2033,Boeing 777-39LER
151db5,RA-73141,Boeing 777-300ER
8964d3,A6-FMD,Boeing 737-8
4bb876,TC-NCV,Airbus A320-251N
896333,A6-FEB,Boeing 737-8KN
151fd9,RA-73689,Airbus A321-231
151fed,RA-73709,Airbus A321-211
152020,RA-73760,Airbus A320-214
151e90,RA-73360,Boeing 737-8Q8
49c0e7,OK-QUU 06,BRM Aero Bristell NG5 SpeedWing
1427e0,RA-10208,Gulfstream Aerospace GV-SP (G550)
151e7d,RA-73341,Boeing 777-212ER
60003c,701,Airbus A319-132
150764,RA-67428,Cessna 525 CitationJet
43bebd,RA-73156,Airbus A350-941
155c00,RA-89088,Sukhoi SuperJet 100-95LR
781364,B-1065,Airbus A330-343E
7816bd,B-308P,Airbus A330-243F
0a402d,7T-VPP,Airbus A340-541X Prestige
152077,RA-73847,Boeing 777-35EER
4bb564,TC-MKD,Boeing 737-8
151e28,RA-73256,Boeing 737-86J
151d82,RA-73090,Boeing 737-8GU
151d6f,RA-73071,Boeing 757-2Q8
151e53,RA-73299,Boeing 737-8FZ
507c61,UK32031,Airbus A320-214
151eea,RA-73450,Airbus A320-271N
155bf0,RA-89072,Sukhoi SuperJet 100-95LR
151dad,RA-73133,Boeing 777-3M0ER
140ab7,RA-02743,Embraer 190-100LR
152adf,RA-76511,Ilyushin Il-76TD-90VD
151e04,RA-73220,Airbus A319-111
151dd8,RA-73176,Airbus A320-214
600805,4K-AZ05,Airbus A319-111
14f126,RA-61734,Antonov An-148-100E
4c01e7,YU-APH,Airbus A320-232
151d41,RA-73025,Airbus A319-115X CJ
6010f7,EX-32009,Airbus A320-233
155bc7,RA-89031,Sukhoi SuperJet 100-95LR
151fb4,RA-73652,Boeing 737-752
151ddc,RA-73180,Airbus A320-214
151e12,RA-73234,Boeing 737-800WL
4baa44,TC-JRD,Airbus A321-231
151d57,RA-73047,Boeing 737-524
15204f,RA-73807,Airbus A320-214
151dee,RA-73198,Airbus A319-112
896489,A6-BLI,Boeing 787-9
151ff5,RA-73717,Airbus A321-211
15201a,RA-73754,Airbus A320-214
4bb85a,TC-NBZ,Airbus A320-251N
151edf,RA-73439,Airbus A321-271N
01010a,SU-GDB,Boeing 737-866
140ac0,RA-02752,Embraer ERJ 135BJ Legacy 650
4ba8d2,TC-JFR,Boeing 737-8F2
1520a2,RA-73890,Boeing 737-7FY BBJ
151f6f,RA-73583,Canadair CL-600-2B19 Challenger 850
600003,EK-YRC,Airbus A320-214
683329,UP-B3737,Boeing 737-8
151fc3,RA-73667,Boeing 737-8LP
14fc07,RF-64519,Tupolev Tu-214ON
151f3a,RA-73530,Bombardier BD-700-1A11 Global 5500
151e13,RA-73235,Boeing 737-8LJ
4baa45,TC-JRE,Airbus A321-231
151d56,RA-73046,Boeing 737-542
60183d,EZ-A015,Boeing 737-82K
8965fa,A6-AUG,Airbus A320-214
151fb5,RA-73653,Boeing 737-86N
15205a,RA-73818,Airbus A320-232
706132,9K-CBK,Airbus A320-251N
151ddb,RA-73179,Airbus A320-214
4baa53,TC-JRS,Airbus A321-231
151e05,RA-73221,Airbus A319-111
152c29,RA-76841,Ilyushin Il-76TD
1d3346,RF-78662,Ilyushin Il-76MD-90A
151dae,RA-73134,Boeing 777-3M0ER
7810fb,B-8959,Airbus A330-243
4bb84f,TC-NBO,Airbus A320-251N
600853,4K-AZ83,Airbus A320-214
151e52,RA-73298,Boeing 737-8FZ
155c2f,RA-89135,Sukhoi SuperJet 100-95B
151e2b,RA-73259,Boeing 737-33R
8965d6,A6-FKK,Boeing 737-8
140aef,RA-02799,Raytheon 390 Premier 1A
151e29,RA-73257,Boeing 737-8K5
151df5,RA-73205,Airbus A319-111
151d83,RA-73091,Boeing 737-8GU
780e2e,B-8015,Airbus A330-343
151e7e,RA-73342,Boeing 777-35EER
140b2a,RA-02858,Embraer ERJ 135BJ Legacy 600
151fee,RA-73710,Airbus A321-211
152021,RA-73761,Airbus A320-214
151ef1,RA-73457,Airbus A320-271N
151e87,RA-73351,Boeing 757-223SF
152037,RA-73783,Airbus A330-343E
151fdc,RA-73692,Airbus A320-214
7808cc,B-2035,Boeing 777-39LER
151e68,RA-73320,Airbus A320-232CJ Prestige
8964d2,A6-FMC,Boeing 737-8
151f16,RA-73494,Boeing 737-8KN
14f11f,RA-61727,Antonov An-148-100E
150661,RA-67169,Canadair CL-600-2B16 Challenger 650
89409e,A9C-NA,Airbus A321-253NX
155c40,89152,Sukhoi Superjet 100-95B
151d7a,RA-73082,Boeing 767-224
7335c6,EP-MNF,Airbus A310-304
152060,RA-73824,Airbus A320-214
151ec6,RA-73414,Airbus A321-211
0d8469,YV3535,Airbus A340-642
151d95,RA-73109,Boeing 737-800WL
4ba8cb,TC-JFK,Boeing 737-8F2
151ed1,RA-73425,Airbus A320-271N
896191,A6-EER,Airbus A380-861
154ca3,RA-85155,Tupolev Tu-154M
7809ef,B-5923,Airbus A330-343E
151ffc,RA-73724,Airbus A321-211
