icao,tail,plane_model,reg_country,type,max_passengers
151d9c,RA-73116,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151d98,RA-73112,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151da3,RA-73123,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151e13,RA-73235,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151da2,RA-73122,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151d9b,RA-73115,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151e55,RA-73301,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151e14,RA-73236,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151d9e,RA-73118,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151d88,RA-73096,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151da5,RA-73125,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151da4,RA-73124,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151d89,RA-73097,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151e15,RA-73237,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151da8,RA-73128,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151e54,RA-73300,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151d85,RA-73093,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151d86,RA-73094,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151e1a,RA-73242,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151da7,RA-73127,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151d9f,RA-73119,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151da6,RA-73126,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151d87,RA-73095,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151da1,RA-73121,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151d9a,RA-73114,Boeing 737-8LJ,Russia,COMMERCIAL, 132
151e51,RA-73297,Boeing 737-8LJ,Russia,COMMERCIAL, 132
15206f,RA-73839,Airbus A321-251NX,Russia,COMMERCIAL, 240
151fe9,RA-73705,Airbus A321-251NX,Russia,COMMERCIAL, 240
15204a,RA-73802,Airbus A321-251NX,Russia,COMMERCIAL, 240
152070,RA-73840,Airbus A321-251NX,Russia,COMMERCIAL, 240
151fe8,RA-73704,Airbus A321-251NX,Russia,COMMERCIAL, 240
152049,RA-73801,Airbus A321-251NX,Russia,COMMERCIAL, 240
151fe7,RA-73703,Airbus A321-251NX,Russia,COMMERCIAL, 240
15206c,RA-73836,Airbus A321-251NX,Russia,COMMERCIAL, 240
151d44,RA-73028,Airbus A321-251NX,Russia,COMMERCIAL, 240
152048,RA-73800,Airbus A321-251NX,Russia,COMMERCIAL, 240
151d43,RA-73027,Airbus A321-251NX,Russia,COMMERCIAL, 240
15206e,RA-73838,Airbus A321-251NX,Russia,COMMERCIAL, 240
4bc841,TC-RBA,Airbus A321-251NX,Turkey,COMMERCIAL, 240
4bc847,TC-RBG,Airbus A321-251NX,Turkey,COMMERCIAL, 240
4bc853,TC-RBS,Airbus A321-251NX,Turkey,COMMERCIAL, 240
4bc842,TC-RBB,Airbus A321-251NX,Turkey,COMMERCIAL, 240
151d77,RA-73079,Boeing 767-3Y0ER,Russia,COMMERCIAL, 375
151d78,RA-73080,Boeing 767-3Y0ER,Russia,COMMERCIAL, 375
14f110,RA-61712,Antonov An-148-100EA,Russia,COMMERCIAL, 85
14f116,RA-61718,Antonov An-148-100EA,Russia,COMMERCIAL, 85
14f117,RA-61719,Antonov An-148-100EA,Russia,COMMERCIAL, 85
151e32,RA-73266,Boeing 737-83N,Russia,COMMERCIAL, 189
151ee7,RA-73447,Boeing 737-83N,Russia,COMMERCIAL, 189
151ec1,RA-73409,Boeing 737-83N,Russia,COMMERCIAL, 189
151f11,RA-73489,Boeing 737-83N,Russia,COMMERCIAL, 189
151ec0,RA-73408,Boeing 737-83N,Russia,COMMERCIAL, 189
155be6,RA-89062,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c1a,RA-89114,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155bd0,RA-89040,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c20,RA-89120,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155bbf,RA-89023,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c2f,RA-89135,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c37,RA-89143,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c60,RA-89184,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c21,RA-89121,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c0f,RA-89103,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155bd1,RA-89041,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155be7,RA-89063,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c10,RA-89104,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c2a,RA-89130,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155bc1,RA-89025,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155be0,RA-89056,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c26,RA-89126,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c31,RA-89137,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155bba,RA-89018,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155c27,RA-89127,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
155bd7,RA-89047,Sukhoi SuperJet 100-95B,Russia,COMMERCIAL, 108
