,area_country,count
0,"Moscow, Russia",869
1,"St. Petersburg, Russia",620
2,"Stavropol', Russia",330
3,"Tatarstan, Russia",278
4,"Sverdlovsk, Russia",274
5,"Nizhegorod, Russia",266
6,"Saratov, Russia",237
7,"Antalya, Turkey",236
8,"Krasnodar, Russia",187
9,"Samara, Russia",184
10,"Istanbul, Turkey",184
11,"Kaliningrad, Russia",184
12,"Novosibirsk, Russia",174
13,"Armavir, Armenia",160
14,"Perm', Russia",154
15,"Dubay, United Arab Emirates",152
16,"Astrakhan', Russia",137
17,"Minsk, Belarus",125
18,"Komi, Russia",121
19,"Yamal-Nenets, Russia",111
20,"Krasnoyarsk, Russia",109
21,"Chelyabinsk, Russia",107
22,"Volgograd, Russia",107
23,"Murmansk, Russia",106
24,"Khanty-Mansiy, Russia",94
25,"Kemerovo, Russia",93
26,"Bashkortostan, Russia",91
27,"Kabardin-Balkar, Russia",89
28,"Vladimir, Russia",84
29,"Mugla, Turkey",81
30,"Altay, Russia",76
31,"Dushanbe, Tajikistan",71
32,"West Kazakhstan, Kazakhstan",70
33,"Ul'yanovsk, Russia",67
34,"Dagestan, Russia",66
35,"Bakı, Azerbaijan",65
36,"Orenburg, Russia",63
37,"Tashkent, Uzbekistan",63
38,"People's Republic of China, People's Republic of China",62
39,"Kirov, Russia",58
40,"Zhambyl, Kazakhstan",55
41,"Irkutsk, Russia",53
42,"Chechnya, Russia",52
43,"Tyumen', Russia",52
44,"Leningrad, Russia",51
45,"Almaty City, Kazakhstan",51
46,"Omsk, Russia",48
47,"Tomsk, Russia",39
48,"Mtskheta-Mtianeti, Georgia",38
49,"Karachay-Cherkess, Russia",38
50,"Kaluga, Russia",37
51,"Vologda, Russia",36
52,"Qostanay, Kazakhstan",35
53,"Udmurt, Russia",35
54,"Tadzhikistan Territories, Tajikistan",31
55,"Khakass, Russia",30
56,"Sharjah, United Arab Emirates",29
57,"Chita, Russia",29
58,"Andijon, Uzbekistan",29
59,"Ivanovo, Russia",28
60,"Yaroslavl', Russia",27
61,"Khatlon, Tajikistan",27
62,"Arkhangel'sk, Russia",26
63,"Kvemo Kartli, Georgia",26
64,"Kocaeli, Turkey",24
65,"Penza, Russia",23
66,"Al Bahr al Ahmar, Egypt",23
67,"Abu Dhabi, United Arab Emirates",22
68,"Novgorod, Russia",22
69,"Bursa, Turkey",21
70,"Janub Sina', Egypt",21
71,"Aqmola, Kazakhstan",21
72,"Chuvash, Russia",21
73,"Khabarovsk, Russia",20
74,"Tver', Russia",17
75,"Abkhazia, Georgia",17
76,"Bukhoro, Uzbekistan",16
77,"Ingush, Russia",16
78,"Sakha (Yakutia), Russia",16
79,"Ryazan', Russia",15
80,"Buryat, Russia",15
81,"Samarkand, Uzbekistan",14
82,"LYBE - Belgrade Nikola Tesla Airport, Serbia",14
83,"Karelia, Russia",14
84,"Pskov, Russia",14
85,"Mordovia, Russia",14
86,"Delhi, India",13
87,"South Karelia, Finland",12
88,"North Ossetia, Russia",12
89,"Al Qahirah, Egypt",12
90,"Kostroma, Russia",11
91,"Şəki, Azerbaijan",11
92,"Almaty, Kazakhstan",11
93,"HaMerkaz, Israel",11
94,"Ankara, Turkey",10
95,"Kütahya, Turkey",10
96,"Denizli, Turkey",9
97,"Al Muḩarraq, Bahrain",9
98,"Vitebsk, Belarus",9
99,"Kakheti, Georgia",9
100,"Surkhandarya, Uzbekistan",9
101,"Aragatsotn, Armenia",9
102,"Mariy-El, Russia",9
103,"Aqaba, Jordan",8
104,"Oğuz, Azerbaijan",8
105,"Smolensk, Russia",8
106,"Al Farwaniyah, Kuwait",8
107,"Nenets, Russia",8
108,"Izmir, Turkey",8
109,"Tehran, Iran",8
110,"Tula, Russia",8
111,"Ysyk-Köl, Kyrgyzstan",8
112,"Kurgan, Russia",8
