icao,call_sign,start_time,end_time,origin_area,origin_country,destination_area,destination_country,aircraft_model,aircraft_model_code,area_country
4c01e7,,2023-06-24T23:47:28.488Z,2023-06-24T23:59:44.397Z,Moscow,Russia,Moscow,Russia,Airbus A320-231,L2J,"Moscow, Russia"
155c63,RWZ017,2023-06-24T23:40:53.347Z,2023-06-24T23:59:44.297Z,Moscow,Russia,Moscow,Russia,,,"Moscow, Russia"
151d57,UTA363,2023-06-24T22:59:28.172Z,2023-06-24T23:59:39.161Z,Moscow,Russia,Tatarstan,Russia,,,"Tatarstan, Russia"
152071,SVR8973,2023-06-24T22:47:12.297Z,2023-06-24T23:56:49.892Z,Tver',Russia,Saratov,Russia,,,"Saratov, Russia"
151ff2,AFL1894,2023-06-24T22:27:47.092Z,2023-06-24T23:34:56.19Z,Vladimir,Russia,Tatarstan,Russia,,,"Tatarstan, Russia"
151fd3,CTU1025,2023-06-24T21:52:59.697Z,2023-06-24T22:58:33.038Z,Moscow,Russia,St. Petersburg,Russia,,,"St. Petersburg, Russia"
152026,AFL1430,2023-06-24T21:40:44.092Z,2023-06-24T23:26:06.341Z,Vladimir,Russia,Chelyabinsk,Russia,,,"Chelyabinsk, Russia"
152c07,AZS1197,2023-06-24T21:35:35.168Z,2023-06-24T23:59:44.043Z,Moscow,Russia,Komi,Russia,Ilyushin IL-76 T,L4J,"Komi, Russia"
151ffa,,2023-06-24T21:14:50.075Z,2023-06-24T23:58:02.684Z,Moscow,Russia,Omsk,Russia,,,"Omsk, Russia"
507c44,UZB602,2023-06-24T20:54:38.435Z,2023-06-24T22:04:26.992Z,Moscow,Russia,West Kazakhstan,Kazakhstan,Boeing 767-35D,L2J,"West Kazakhstan, Kazakhstan"
151edd,SBI2547,2023-06-24T20:50:33.997Z,2023-06-24T23:59:42.732Z,Kaluga,Russia,Novosibirsk,Russia,,,"Novosibirsk, Russia"
896477,UAE132,2023-06-24T20:46:27.884Z,2023-06-24T23:57:58.675Z,Moscow,Russia,Esfahan,Iran,Airbus A380-861,L4J,"Esfahan, Iran"
