icao,tail,plane,link
1418d8,RA-06360,Robinson R66,https://www.flightradar24.com/data/aircraft/ra-06360
14fa0a,RA-64010,Tupolev Tu-204,https://www.flightradar24.com/data/aircraft/ra-64010
466b38,,,
152c2e,RA-76846,Ilyushin Il-76TD,https://www.flightradar24.com/data/aircraft/ra-76846
142586,RA-09606,Dassault Falcon 8X,https://www.flightradar24.com/data/aircraft/ra-09606
4b850c,TC-AHL,Gulfstream IV-SP,https://www.flightradar24.com/data/aircraft/tc-ahl#
140ac5,RA-02757,Embraer Legacy 600,https://www.flightradar24.com/data/aircraft/ra-02757#
1506a6,RA-67238,Bombardier Challenger 605,https://www.flightradar24.com/data/aircraft/ra-67238
032091,,,
1506aa,RA-67242,Bombardier Global Express XRS,https://www.flightradar24.com/data/aircraft/ra-67242
1533ad,RA-78765,Ilyushin Il-76TD,https://www.flightradar24.com/data/aircraft/ra-78765
14fa0e,RA-64014,Tupolev Tu-204-100,https://www.flightradar24.com/data/aircraft/ra-64014#
150690,RA-67216,Bombardier Challenger 604,https://www.flightradar24.com/data/aircraft/ra-67216
ea000f,,,
15064b,RA-67147,Bombardier Challenger 605,https://www.flightradar24.com/data/aircraft/ra-67147#
26002b,,,
1427dc,RA-10204,Gulfstream G650,https://www.flightradar24.com/data/aircraft/ra-10204#
152c2a,RA-76842,Ilyushin Il-76TD,https://www.flightradar24.com/data/aircraft/ra-76842#
155bdd,RA-89053,Sukhoi Superjet 100-95B,https://www.flightradar24.com/data/aircraft/ra-89053#
152c07,RA-76807,Ilyushin Il-76TD,https://www.flightradar24.com/data/aircraft/ra-76807#
15069a,RA-67226,Bombardier Global 5000,https://www.flightradar24.com/data/aircraft/ra-67226#
600be9,,,
