Plane,type,max_passengers
Boeing 737-8LJ,COMMERCIAL, 132
Boeing 737-958ER,COMMERCIAL, 189
Airbus A321-251NX,COMMERCIAL, 240
Boeing 767-3Y0ER,COMMERCIAL, 375
Airbus A320-214,COMMERCIAL, 150
Antonov An-148-100EA,COMMERCIAL, 85
Boeing 737-8BK,COMMERCIAL, 189
Boeing 737-83N,COMMERCIAL, 189
Boeing 737-800WL,COMMERCIAL, 189
Airbus A320-251N,COMMERCIAL, 195
Sukhoi SuperJet 100-95B,COMMERCIAL, 108
Boeing 757-223SF,COMMERCIAL, 239
Airbus A330-343E,COMMERCIAL, 440
Boeing 737-93YER,COMMERCIAL, 215
Boeing 737-82R,COMMERCIAL, 189
Embraer 190-200LR-195LR,COMMERCIAL, 114
Boeing 777-21HER,COMMERCIAL, 396
AgustaWestland AW139,HELICOPTER, UNKNOWN
Boeing 737-8EH,COMMERCIAL, 189
Dassault Falcon 7X,PRIVATE, 12
Airbus A350-941,COMMERCIAL, 440
Boeing 737-8AS,COMMERCIAL, 189
Tupolev Tu-204-300,COMMERCIAL, 220
Dassault Falcon 900B,PRIVATE, 19
Ilyushin Il-76MD,MILITARY, UNKNOWN
Boeing 787-9,COMMERCIAL, 296
Embraer ERJ 135BJ Legacy 650,PRIVATE, 13
Airbus A321-211,COMMERCIAL, 220
Airbus A321-231,COMMERCIAL, 220
Boeing 737-8GJ,COMMERCIAL, 189
Boeing 777-39LER,COMMERCIAL, 396
Airbus A319-112,COMMERCIAL, 160
Boeing 737-86N,COMMERCIAL, 189
Boeing 737-866,COMMERCIAL, 189
Airbus A330-223F,COMMERCIAL, UNKNOWN
Boeing 737-8,COMMERCIAL, 189
Airbus A320-212,COMMERCIAL, 180
Airbus A320-233,COMMERCIAL, 180
Boeing 737-8F2,COMMERCIAL, 189
Canadair CL-600-2B16 Challenger 650,PRIVATE, 12
Boeing 777-31HER,COMMERCIAL, 396
Airbus A320-271N,COMMERCIAL, 195
Airbus A320-232,COMMERCIAL, 180
