icao,tail,plane,tail_prefix,Country or region
151d9c,RA-73116,Boeing 737-8LJ,RA,Russia
15206f,RA-73839,Airbus A321-251NX,RA,Russia
151d77,RA-73079,Boeing 767-3Y0ER,RA,Russia
14f110,RA-61712,Antonov An-148-100EA,RA,Russia
151e32,RA-73266,Boeing 737-83N,RA,Russia
151d98,RA-73112,Boeing 737-8LJ,RA,Russia
155be6,RA-89062,Sukhoi SuperJet 100-95B,RA,Russia
151e8a,RA-73354,Boeing 757-223SF,RA,Russia
15203a,RA-73786,Airbus A330-343E,RA,Russia
155c1a,RA-89114,Sukhoi SuperJet 100-95B,RA,Russia
151e65,RA-73317,Boeing 737-82R,RA,Russia
155bd0,RA-89040,Sukhoi SuperJet 100-95B,RA,Russia
151e73,RA-73331,Boeing 777-21HER,RA,Russia
1407c6,RA-01990,AgustaWestland AW139,RA,Russia
151d8e,RA-73102,Boeing 737-800WL,RA,Russia
151ebf,RA-73407,Airbus A320-214,RA,Russia
142581,RA-09601,Dassault Falcon 7X,RA,Russia
43be92,RA-73153,Airbus A350-941,RA,Russia
151e24,RA-73252,Boeing 737-8AS,RA,Russia
151df8,RA-73208,Boeing 737-800WL,RA,Russia
155c20,RA-89120,Sukhoi SuperJet 100-95B,RA,Russia
14fa27,RA-64039,Tupolev Tu-204-300,RA,Russia
142329,RA-09001,Dassault Falcon 900B,RA,Russia
15537a,RA-86906,Ilyushin Il-76MD,RA,Russia
151e5d,RA-73309,Boeing 737-800WL,RA,Russia
151da3,RA-73123,Boeing 737-8LJ,RA,Russia
152000,RA-73728,Airbus A321-211,RA,Russia
151fb8,RA-73656,Boeing 737-8GJ,RA,Russia
151e0c,RA-73228,Boeing 737-800WL,RA,Russia
151dd4,RA-73172,Airbus A320-214,RA,Russia
152057,RA-73815,Airbus A319-112,RA,Russia
151fbc,RA-73660,Boeing 737-86N,RA,Russia
151e1e,RA-73246,Boeing 737-800WL,RA,Russia
151de2,RA-73186,Airbus A319-112,RA,Russia
152041,RA-73793,Airbus A321-211,RA,Russia
